student_id,age,gender,academic_level,country,daily_screen_time_hours,most_used_platform,sleep_hours,mental_health_score,gpa
1,19,Female,Undergraduate,India,5.2,Instagram,6.5,6,7.8
2,22,Male,Graduate,USA,3.1,LinkedIn,7.5,8,8.4
3,20,Female,Undergraduate,UK,6.8,TikTok,5.5,4,6.9
4,18,Male,Undergraduate,India,7.4,Instagram,5.0,3,6.2
5,24,Female,Graduate,Canada,2.5,LinkedIn,8.0,9,9.1
6,21,Male,Undergraduate,USA,4.9,YouTube,6.8,7,7.5
7,19,Female,Undergraduate,Australia,6.1,TikTok,6.0,5,7.0
8,23,Male,Graduate,Germany,3.8,YouTube,7.2,8,8.2
9,20,Female,Undergraduate,India,5.5,Instagram,6.2,6,7.4
10,25,Male,Graduate,USA,2.9,LinkedIn,7.8,9,8.8
11,18,Female,Undergraduate,UK,8.2,TikTok,4.8,2,5.8
12,22,Male,Graduate,Canada,4.2,YouTube,7.0,7,8.0
13,21,Female,Undergraduate,USA,5.8,Instagram,6.1,5,7.2
14,19,Male,Undergraduate,India,6.9,Instagram,5.4,4,6.5
15,24,Female,Graduate,Australia,3.4,LinkedIn,7.6,8,8.6
16,20,Male,Undergraduate,Germany,5.1,YouTube,6.6,6,7.6
17,18,Female,Undergraduate,USA,7.8,TikTok,5.1,3,6.0
18,23,Male,Graduate,UK,3.6,LinkedIn,7.4,8,8.3
19,21,Female,Undergraduate,Canada,5.4,Instagram,6.3,6,7.3
20,22,Male,Graduate,India,4.5,YouTube,6.9,7,7.9
21,19,Female,Undergraduate,Germany,6.4,TikTok,5.8,4,6.7
22,25,Male,Graduate,Australia,2.7,LinkedIn,8.1,9,9.0
23,20,Female,Undergraduate,USA,5.9,Instagram,6.0,5,7.1
24,18,Male,Undergraduate,UK,7.1,TikTok,5.3,3,6.3
25,24,Female,Graduate,India,3.2,LinkedIn,7.7,8,8.5
26,21,Male,Undergraduate,Canada,4.8,YouTube,6.7,6,7.7
27,19,Female,Undergraduate,Australia,6.6,Instagram,5.7,4,6.8
28,23,Male,Graduate,USA,3.9,YouTube,7.1,7,8.1
29,20,Female,Undergraduate,Germany,5.6,TikTok,6.2,5,7.0
30,22,Male,Graduate,UK,4.1,LinkedIn,7.3,8,8.2
31,18,Female,Undergraduate,India,8.0,Instagram,4.9,2,5.9
32,25,Male,Graduate,Canada,3.0,LinkedIn,7.9,9,8.9
33,21,Female,Undergraduate,USA,5.3,TikTok,6.4,6,7.4
34,19,Male,Undergraduate,Australia,6.2,YouTube,5.9,5,6.9
35,24,Female,Graduate,Germany,3.5,LinkedIn,7.5,8,8.4
36,20,Male,Undergraduate,India,5.7,Instagram,6.1,5,7.2
37,18,Female,Undergraduate,USA,7.6,TikTok,5.2,3,6.1
38,23,Male,Graduate,Australia,3.7,YouTube,7.3,7,8.0
39,21,Female,Undergraduate,UK,5.0,Instagram,6.5,6,7.5
40,22,Male,Graduate,Germany,4.4,LinkedIn,7.0,7,7.8
